Blog	dirty	dogs	teacher	direction	chose	legs	garden	co	ball	taught	apart	dropped	k	previous	message	beauty	lines	english	november	thanksgiving	wet	flying	facebook	steps	hello	angel	towards	famous	stood	expected	mess	worst	system	celebrate	hell	teeth	practice	chicken	broke	grand	wind	unfortunately	sea	december	blood	y	program	sugar	nearly	holy	reality	parking	discovered	pack	north	absolutely	posts	section	article	herself	doctor	cross	gold	mix	lake	travel	inspired	focus	meaning	machine	buying	ladies	nose	teach	doors	visiting	latest	common	hospital	river	sale	everybody	bear	windows	l	cup	mood	bird	speed	seconds	island	board	changing	easily	brothers	lessons	screen	managed	brings	faces	sky	fix	runs	obviously	key	include	babies	agree	cd	throughout	series	race	la	player	asleep	based	actual	consider	animals	shut	literally	bottle	blow	likely	tiny	shape	possibly	checking	hadn	pre	build	available	radio	ate	falling	plays	nature	crowd	row	cards	adventure	copy	birth	relationship	charge	heat	comfortable	gifts	checked	basically	creative	slightly	scary	interest	familiar	online	beyond	presents	suppose	remembered	roll	clock	sell	horse	success	laid	weight	doubt	allow	blogs	cried	example	magic	south	soft	hungry	ya	wanting	push	reminds	bathroom	hearts	million	breath	clearly	official	candy	passing	cars	price	whose	v	pray	result	paying	saved	fat	ticket	whom	forgotten	lie	library	journey	strength	dr	points	tea	breaking	joined	ends	handle	perfectly	attempt	f	brand	notes	tour	storm	families	ups	drinking	member	regular	fashion	gas	goal	hole	seat	uncle	fighting	signs	bath	okay	classic	effort	pair	september	promised	grateful	advice	plenty	february	training	involved	schedule	harder	ending	younger	address	riding	easter	dressed	faster	cheap	sold	community	santa	results	kiss	according	boring	reminded	artist	lesson	willing	van	truck	america	sisters	catching	flat	issue	evil	concert	describe	halloween	contact	challenge	collection	items	freedom	film	prepared	barely	heads	kill	anniversary	whenever	james	content	background	disappointed	mountain	grandma	sang	sand	aunt	sometime	flight	swing	sight	jesus	spread	hall	till	nervous	orange	camp	angry	shall	bike	extremely	fans	purpose	holidays	lord	release	rolling	continued	terrible	nap	progress	comfort	nobody	helps	cost	nor	grew	fantastic	numbers	w	de	milk	wise	response	falls	sharing	raise	officially	becoming	certainly	j	mid	plane	moon	throwing	grade	otherwise	excuse	master	swimming	letters	yours	heading	impossible	addition	picking	walls	hardly	daddy	guest	interview	rocks	remind	besides	character	tall	account	smell	social	calm	bags	ring	image	faith	paint	greatest	health	folks	waste	lay	wide	tag	pants	bringing	laughed	period	term	states	bill	per	national	shower	review	album	blame	mini	opinion	bedroom	rule	plastic	edge	rich	houses	michael	hide	effect	wash	unique	animal	finishing	airport	pleasure	eve	listened	ear	emotional	classes	midnight	pages	force	fellow	text	york	apple	traffic	shared	quote	jack	yard	joke	finger	kinds	yellow	ah	accept	birds	pure	serve	invited	subject	aside	mirror	normally	currently	garage	block	cheese	compared	goodbye	clouds	grass	pics	leg	blast	offered	bored	shoot	honestly	delicious	happiness	related	student	forced	jumped	meal	via	draw	upset	signed	lyrics	french	stomach	excitement	discussion	pulling	position	expensive	knowledge	bet	apartment	hi	neither	students	path	enter	reached	painting	loose	among	credit	blessed	obvious	visited	healthy	east	projects	receive	generally	flower	various
Berus on the Blog	1	7	1	0	0	1	11	2	1	1	0	1	0	0	0	0	0	4	0	0	1	0	0	0	2	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	2	0	6	0	6	0	0	0	2	0	0	0	1	1	0	0	0	1	3	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	3	0	0	0	0	0	1	0	0	2	0	0	0	0	0	2	0	0	0	1	0	2	0	0	0	1	0	1	0	0	6	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	4	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	2	0	2	1	0	1	0	0	0	0	3	6	1	0	2	3	2	0	0	1	0	0	4	0	0	0	0	0	0	0	2	3	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	7	0	1	0	1	1	2	2	0	0	3	0	0	0	18	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0	0	3	0	0	0	0	0	0	0	3	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	11	1	0	2	0	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	5	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	3	1	0	0	0	1	1	0	0	0	0	1	6	0	0	0	0	0	0	1
The Fucking Bike Club	1	2	1	0	1	0	5	0	4	0	0	2	1	3	1	0	0	0	17	1	2	1	27	0	1	0	1	4	2	8	1	1	1	6	7	2	2	1	2	4	1	2	0	12	1	1	2	0	0	3	0	21	0	7	21	0	2	11	4	0	17	2	0	2	1	0	3	1	2	1	1	2	0	0	3	0	2	1	2	8	3	7	0	0	0	0	1	0	6	1	0	4	1	0	0	0	0	2	3	3	1	2	2	0	1	15	0	1	1	1	3	27	0	0	0	4	1	3	0	1	0	7	0	3	2	0	5	5	0	3	1	8	0	1	1	0	0	19	2	46	4	4	1	0	3	1	2	5	2	0	0	0	0	4	14	5	10	7	7	5	6	1	3	0	11	1	0	1	2	0	0	0	6	21	0	1	4	0	1	0	0	0	5	0	2	6	1	3	4	5	0	1	0	1	3	1	1	6	0	1	0	1	1	4	1	3	1	1	2	1	3	2	0	0	2	2	4	0	0	2	10	21	3	0	0	3	1	0	1	0	1	0	1	1	7	6	22	1	0	2	6	13	1	4	2	2	1	0	5	30	0	5	0	5	2	9	0	2	1	3	0	2	1	0	10	1	1	1	0	0	5	8	1	1	1	12	11	2	4	10	1	1	8	0	4	1	0	0	2	0	0	6	7	0	0	1	0	2	1	2	0	1	2	0	0	0	1	1	2	1	160	1	3	1	0	0	1	2	1	1	1	2	1	3	1	6	2	0	4	13	4	5	1	0	2	2	0	1	4	1	14	0	0	0	136	3	0	5	0	0	2	0	2	5	0	11	0	0	0	0	0	0	0	6	1	0	2	0	0	1	0	3	4	9	0	2	3	0	11	0	0	0	1	5	5	0	1	0	0	0	2	2	0	1	3	2	1	0	0	1	3	0	2	0	1	0	2	1	1	0	1	0	0	1	3	1	0	0	1	0	1	1	1	0	0	16	0	1	8	0	2	2	0	1	0	3	1	0	4	12	1	1	0	3	5	8	2	5	0	1	1	4	11	1	2	6	0	9	0	11	1	2	1	1	1	2	0	3	2	0	0	1	0	2	0	1	0	1	1	0	0	0	2	0	2	1	0	0	1	1	1	0	1	3	0	3	1	4	1	0	3
A day in the life of a __________________:	7	12	78	2	0	11	6	10	4	5	5	3	1	5	0	4	2	24	2	11	8	5	3	5	4	3	2	2	5	6	6	5	5	4	12	0	0	3	3	1	8	2	3	4	5	6	2	2	1	3	5	3	1	3	2	8	1	0	3	12	2	1	1	0	3	2	2	1	1	0	4	6	5	26	2	2	0	2	2	0	2	0	1	2	2	8	3	0	1	2	2	3	4	5	1	13	7	2	1	4	0	2	1	11	7	0	13	2	0	1	0	3	4	0	3	1	1	9	3	7	3	9	3	3	20	1	10	4	4	0	7	1	4	5	9	1	0	2	1	4	0	1	3	10	3	7	4	3	1	4	2	6	10	1	1	5	2	4	2	3	5	3	2	15	9	9	4	3	5	3	10	2	3	1	2	2	1	0	5	1	15	2	8	4	5	1	1	5	4	3	2	1	8	3	4	1	5	0	4	1	4	3	3	0	5	2	3	3	3	1	5	6	2	0	2	4	5	1	2	0	11	2	3	2	7	6	4	5	1	2	0	9	0	0	3	3	3	1	2	1	2	0	6	3	5	3	1	2	4	1	1	6	0	1	0	2	2	0	14	2	8	4	1	9	9	0	4	0	4	1	5	2	1	0	2	5	3	0	0	1	1	3	6	3	4	3	2	0	0	3	3	2	7	13	1	3	2	2	0	3	1	0	3	7	6	6	4	4	6	2	3	0	0	4	7	0	0	3	2	5	5	4	2	0	4	2	3	1	11	0	13	0	3	2	1	1	2	8	4	5	6	0	1	1	1	0	19	3	9	1	5	3	0	3	3	3	0	5	0	5	0	13	1	4	3	1	6	10	4	3	3	5	3	0	3	13	1	9	0	5	8	4	1	11	4	3	17	7	4	5	2	4	4	1	0	2	3	1	5	1	2	3	2	2	0	0	1	0	2	0	0	0	2	2	1	2	3	12	0	3	6	2	6	2	5	1	0	0	2	4	1	1	1	7	3	3	2	2	0	2	1	2	8	0	12	2	3	4	1	0	3	10	1	0	0	3	3	1	1	8	2	2	42	3	1	2	2	1	5	5	0	4	4	2	2	4	13	6	0	6	0	2	6	85	1	0	7	9	5	0	3	5	0	0	4	1	4	1	1	4	5
Willy-nilly	12	8	6	11	8	3	1	14	14	2	8	7	65	11	6	14	7	16	2	2	1	5	3	4	2	3	16	3	6	10	6	10	12	8	21	7	25	2	6	8	2	8	4	1	6	11	13	3	6	6	7	6	4	9	6	21	11	9	15	12	8	1	11	5	2	13	4	43	24	13	7	5	4	3	6	7	8	17	3	6	6	4	2	3	16	2	13	4	9	5	3	15	3	10	2	16	4	11	12	9	3	2	10	8	19	3	8	8	3	6	12	16	6	10	1	22	2	22	3	4	11	2	5	20	1	5	20	2	6	17	12	7	4	3	9	6	12	4	3	10	3	5	3	37	2	5	5	13	6	9	4	6	3	15	1	8	23	2	0	7	5	8	12	5	23	6	6	10	5	1	2	13	4	8	8	4	15	9	9	4	2	3	6	3	2	5	6	10	7	11	13	41	4	7	13	3	9	3	9	5	9	6	21	15	4	7	6	5	3	13	4	7	6	28	22	7	0	2	2	8	3	6	19	6	10	26	7	9	4	8	3	13	12	5	23	9	1	2	20	4	2	1	6	6	3	3	5	5	2	2	0	6	7	5	3	6	5	23	5	11	12	18	1	37	6	0	2	0	5	7	2	4	0	0	5	2	10	15	6	4	6	4	12	3	3	8	1	6	3	7	3	6	4	0	1	6	3	9	20	4	6	1	2	5	22	0	1	3	3	20	9	24	2	10	3	16	5	3	4	3	5	11	11	3	15	14	25	3	1	8	4	1	8	6	9	7	7	0	4	9	13	62	2	1	21	5	2	26	3	2	8	7	17	3	10	7	3	2	19	2	3	9	4	1	1	15	6	5	4	19	4	8	4	27	13	3	6	18	8	7	5	5	0	1	2	3	11	69	2	6	10	3	4	11	0	6	1	6	5	11	0	3	11	4	1	2	6	8	4	5	2	7	13	0	0	4	12	6	3	10	16	3	3	3	3	6	5	4	1	1	15	3	9	5	8	20	2	6	3	5	8	13	6	4	5	1	11	8	6	0	4	4	6	13	0	0	3	2	19	1	18	5	5	0	1	3	0	7	3	4	7	7	2	1	8	6	25	8	13	3	9	12	19	17	42	5	13	3	5	14	12	1	5	2	6	1	6	4	15	5	4
It's My Life	3	21	13	3	6	4	3	4	10	4	1	5	7	3	1	1	3	7	1	10	12	2	0	6	0	11	0	10	4	3	2	8	9	0	31	4	5	1	11	6	2	10	0	1	10	2	4	2	0	10	0	7	10	3	0	4	2	5	7	9	20	4	2	0	5	13	0	1	7	5	3	4	6	22	2	3	2	4	19	0	0	0	5	1	2	4	1	4	6	6	7	3	0	7	1	0	1	0	2	1	5	2	12	0	2	3	10	3	6	6	9	4	2	4	5	4	0	2	25	4	2	4	3	2	0	4	7	3	6	9	1	6	14	8	4	1	1	4	0	3	0	0	6	3	2	12	7	5	4	16	0	0	6	5	1	4	4	8	1	10	7	0	2	3	0	4	28	1	5	2	7	4	4	6	4	2	3	2	21	3	9	2	24	4	34	2	7	4	7	1	8	5	5	13	10	2	27	5	14	3	1	8	0	2	8	4	4	5	8	2	6	3	6	8	3	1	1	0	5	15	13	8	0	1	2	8	3	4	8	0	1	4	38	1	5	2	7	0	0	5	2	4	7	5	4	3	5	6	2	2	10	3	2	0	1	8	5	11	5	0	6	3	1	3	2	4	11	9	0	1	3	8	14	3	4	3	3	4	4	6	4	1	4	11	3	7	4	9	0	0	2	0	4	12	2	1	6	0	1	2	1	1	1	4	0	6	10	43	10	0	9	1	6	2	2	7	1	2	0	1	4	5	4	0	4	5	5	6	27	4	0	1	4	3	9	2	0	5	7	3	2	0	0	4	1	5	14	1	1	0	8	3	1	2	3	6	5	2	1	17	2	2	6	1	1	4	5	0	0	6	3	9	3	2	7	1	0	18	0	3	2	1	3	3	0	22	3	2	7	2	1	10	9	16	1	0	2	9	9	4	0	5	0	2	3	2	3	3	4	3	2	0	4	0	8	3	2	20	3	8	2	3	0	51	5	2	0	2	1	11	0	3	1	5	4	2	2	4	2	4	2	1	8	1	10	2	3	2	2	0	4	4	0	1	0	2	5	3	3	9	1	7	25	0	4	2	4	2	2	1	0	5	18	1	0	4	5	2	1	2	4	1	7	72	6	1	1	2	2	3	4	0	2	1	15	11	3	4	35	2	1
Sentimiento Manana	0	0	4	0	2	0	0	0	0	2	0	0	1	1	6	1	0	1	0	2	0	0	5	1	0	18	2	3	1	1	0	0	0	0	2	0	0	0	1	2	0	8	0	1	0	21	1	0	0	0	1	0	0	0	3	1	2	6	4	1	0	1	0	1	1	0	0	0	0	0	1	1	0	1	1	1	1	0	0	2	0	0	0	0	3	0	2	0	1	0	5	1	0	0	0	3	0	0	0	0	0	0	1	2	0	0	0	1	4	2	2	1	51	4	0	1	1	1	0	0	1	1	0	0	0	4	0	3	1	1	1	3	1	1	0	7	1	1	1	0	0	1	0	0	1	1	0	0	0	4	0	0	0	2	3	0	0	3	0	0	0	0	0	0	0	2	0	6	1	0	0	2	0	4	0	0	1	0	0	0	0	1	0	0	0	1	0	7	0	1	3	4	0	0	0	0	0	1	3	0	0	0	1	0	2	1	0	0	0	1	0	0	0	2	2	0	0	0	0	0	0	4	8	0	1	0	0	0	0	0	0	0	0	4	0	0	5	0	0	0	0	3	0	1	1	0	1	1	1	0	0	0	0	0	0	8	0	0	0	2	0	1	0	0	0	0	0	2	0	2	0	0	0	5	1	0	3	0	5	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1	0	0	0	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	2	0	0	2	0	0	0	0	0	0	1	1	11	43	0	2	1	0	2	1	0	0	2	1	0	0	0	0	0	0	0	3	0	0	2	0	0	1	0	0	0	0	2	4	1	0	1	1	0	1	0	2	0	0	0	0	0	0	1	2	4	0	0	1	0	0	0	0	0	0	1	1	3	0	0	0	9	0	0	1	0	0	0	0	1	0	4	0	1	0	1	0	0	0	8	1	1	1	0	7	0	4	1	0	1	10	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	2	1	1	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	0	1	1	0	2	0	1	0	0	3	1	0	0	1	3	0	2	3	1	0	8	60	0	0	0	1	7	0	0	0	0	5
The River Otter	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	2	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
Evenstar Art	1	4	3	7	3	3	11	0	7	7	5	4	0	1	12	31	1	2	5	0	19	7	15	3	3	7	13	2	7	3	1	1	3	5	11	1	3	4	2	0	26	1	24	12	9	1	0	8	1	8	4	1	1	0	15	3	2	2	1	9	1	10	11	2	15	3	3	9	17	0	2	8	4	5	11	4	1	4	2	3	6	0	23	11	3	4	2	17	5	3	8	0	7	12	0	9	6	2	11	4	24	3	3	3	3	4	2	3	1	4	6	2	0	6	1	3	2	9	6	6	1	0	0	11	13	7	8	3	1	1	3	6	3	3	7	0	31	1	4	4	10	21	6	6	5	5	5	19	1	0	10	7	2	6	3	31	27	4	0	8	12	0	1	31	5	7	12	8	15	2	9	0	31	2	18	2	1	5	0	1	0	13	1	19	6	0	1	7	3	3	2	1	7	3	6	5	0	2	3	11	5	1	26	16	2	6	34	1	2	1	4	6	4	1	2	3	2	4	1	0	0	5	4	3	1	5	2	2	2	0	4	4	4	0	13	5	7	3	8	11	2	18	3	1	3	4	2	2	1	7	0	2	1	2	3	2	4	1	2	2	0	5	4	4	13	0	3	5	0	2	4	36	2	4	2	1	3	2	6	1	9	2	2	8	4	12	1	0	2	5	2	0	0	0	5	1	7	2	5	0	11	0	4	3	0	12	14	0	1	0	1	1	0	19	5	1	6	2	4	2	0	9	23	1	2	2	4	2	4	2	0	3	2	7	7	4	6	2	1	4	4	0	7	2	7	0	0	1	1	0	6	1	5	4	8	1	3	10	3	0	1	3	3	8	1	1	0	3	4	0	7	4	14	5	7	1	5	10	0	2	20	15	3	4	9	6	2	2	3	2	8	1	3	4	1	2	8	1	3	5	4	15	2	4	3	1	4	6	2	9	2	0	2	3	3	4	6	0	4	9	16	2	3	8	2	5	10	1	2	6	0	1	1	26	1	7	23	2	7	3	1	7	5	0	5	32	2	4	2	2	10	13	0	1	0	11	1	2	2	2	14	3	2	2	4	5	4	2	3	1	0	0	2	0	0	3	2	0	12	0	4	1	3	1	17	2	4	3	2	5	3	8	3	3	5	5	3	7	0	7	3
somisahara	9	0	8	0	1	1	4	0	1	3	2	0	2	6	2	0	19	4	0	0	4	0	4	8	1	16	0	6	0	3	5	3	5	3	6	10	1	2	1	0	1	17	9	1	1	2	7	1	0	8	4	7	0	0	14	3	11	0	6	10	10	0	2	0	1	8	0	1	10	1	16	0	6	2	0	18	2	15	7	4	2	4	2	2	1	10	5	2	2	7	9	1	14	2	20	4	0	2	1	4	0	0	6	5	2	3	4	5	1	1	9	0	0	1	10	2	0	1	4	1	0	2	0	0	21	1	0	6	11	2	0	18	3	9	2	0	5	0	0	2	0	5	20	6	2	0	0	18	3	0	0	2	0	1	1	2	1	0	0	3	0	3	0	2	1	2	8	4	0	7	6	4	5	3	1	6	0	1	1	4	3	0	0	10	7	9	1	14	7	10	2	1	6	23	3	1	0	2	2	7	6	1	0	0	1	3	7	2	1	1	0	4	0	3	3	0	2	0	15	3	6	2	7	0	0	0	0	2	19	0	3	7	0	0	2	1	1	4	3	2	0	3	8	5	0	1	3	5	6	0	0	1	1	4	1	3	0	7	12	0	0	0	0	0	0	0	1	1	3	3	0	0	0	4	4	0	4	0	3	0	6	5	4	0	0	0	12	20	0	1	0	1	4	26	0	0	13	2	6	3	1	1	3	6	35	1	0	0	23	0	0	0	2	0	34	0	0	0	2	1	0	0	1	11	4	1	3	0	5	5	2	0	6	5	2	2	4	1	2	15	8	0	0	5	1	1	4	14	0	0	10	2	1	0	3	0	1	2	0	5	8	0	0	1	1	4	2	2	12	3	17	1	4	0	0	0	2	17	0	1	0	2	0	1	9	10	5	0	0	1	1	10	0	3	3	6	0	4	2	9	0	3	6	2	0	1	1	2	2	1	3	6	8	0	2	0	1	5	1	3	6	0	2	0	2	4	3	1	0	10	2	6	1	0	0	8	0	9	0	37	7	1	6	0	3	0	0	0	0	4	5	0	2	0	1	0	1	0	16	7	39	4	7	8	1	6	10	0	6	1	0	0	1	0	1	0	6	10	2	2	4	5	1	6	4	3	6	4	0	2	1	0	3	5	11	1	0	0	8	8	0
hearsoundswrite - A music blog out of South Carolina	2	1	0	2	1	0	1	1	2	0	0	6	0	2	0	0	1	0	4	0	1	0	1	0	1	0	3	6	4	6	0	0	0	1	12	0	3	0	2	3	1	12	4	5	3	3	0	1	4	2	0	0	1	0	5	3	8	8	0	0	0	0	3	3	0	1	3	3	0	3	1	1	1	0	0	2	4	0	0	3	1	0	1	0	0	0	0	10	0	0	1	2	0	1	11	0	4	2	0	0	4	0	4	3	1	0	0	2	4	8	4	2	7	4	1	8	2	8	0	1	0	1	4	2	2	0	2	1	1	2	2	5	11	0	1	1	2	6	12	2	2	0	1	1	0	1	2	0	0	3	9	4	0	4	2	1	1	0	4	1	1	0	2	1	4	0	0	5	1	0	1	6	0	3	2	0	4	1	2	2	0	0	1	0	2	0	1	3	0	1	7	1	0	2	0	0	0	5	4	0	0	0	1	0	5	0	0	3	3	2	0	2	0	0	1	3	9	0	0	1	0	2	2	4	0	3	0	5	0	2	1	0	1	4	9	0	4	1	0	1	3	6	0	1	3	0	1	0	4	0	0	2	0	0	1	1	0	2	2	0	0	0	4	0	1	2	0	2	0	4	1	0	2	3	1	1	2	0	3	0	0	1	1	0	3	0	0	2	0	5	2	2	7	0	1	0	0	3	0	1	0	3	2	4	0	0	1	1	2	0	0	2	13	1	1	0	12	2	0	3	0	0	1	1	0	0	3	1	3	1	4	2	7	0	4	1	1	0	0	0	11	2	6	1	5	1	2	0	1	0	0	1	0	0	3	0	1	1	2	0	0	1	1	2	0	1	0	0	0	2	0	0	4	1	1	0	2	0	7	0	1	2	1	1	0	1	4	0	1	1	0	8	0	9	107	1	0	0	3	0	0	0	5	1	3	1	2	2	4	5	0	1	0	1	7	3	1	0	0	1	1	0	1	1	1	5	1	0	1	0	0	0	0	0	1	1	0	0	0	1	2	3	4	1	1	0	2	0	1	0	0	1	1	0	1	5	1	0	0	0	0	0	1	1	0	0	3	2	0	0	11	0	0	1	2	1	0	0	1	3	1	0	5	0	1	0	1	0	2	8	3	0	1	0	0	1	2	1	6	1	5
; there she goes again	1	0	3	1	0	4	0	0	0	0	1	4	0	1	0	1	4	3	0	0	1	0	5	1	5	0	2	1	0	0	2	1	1	1	4	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	2	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	2	0	1	0	0	0	1	0	0	0	0	7	4	0	0	12	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	2	1	1	0	0	18	5	1	0	0	0	0	1	0	0	0	2	5	0	1	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	3	4	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	2	0	1	0	0	2	2	1	3	0	2	0	0	0	1	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	2	1	1	7	0	1	1	0	0	0	0	0	1	0	0	0	23	2	2	0	0	0	0	1	0	1	2	0	0	0	2	0	0	1	3	0	0	2	0	0	0	1	3	0	0	0	1	3	0	0	0	0	2	0	2	6	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	1	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	3	0	2	2	1	0	2	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	2	2	0	0	1	0	0	0	1	1	0	0	0	4	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	2	2	1	0	5	0	3	0	0	0	1	1	0	0	0	1	5	0	3	0	0	0	0	2	0	1	0	0	0	3	0	0	0	0	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0
"You're a Nerd."	0	1	2	2	2	4	0	1	0	3	1	4	0	7	2	0	0	4	1	5	1	5	1	2	1	1	7	2	2	7	1	1	2	3	0	3	0	7	0	2	0	12	1	1	1	2	1	0	3	2	0	6	7	0	0	6	9	6	2	0	3	1	1	1	11	0	0	0	4	1	3	2	4	4	1	0	1	1	5	1	1	6	2	1	3	1	1	1	2	0	1	1	1	5	0	0	3	0	0	0	1	3	2	2	2	0	0	2	3	3	11	0	2	6	0	5	1	0	2	1	0	1	0	3	0	2	2	3	7	5	2	0	0	4	1	2	1	1	3	3	3	2	0	2	2	4	0	1	8	15	0	2	6	0	1	5	1	1	0	0	1	2	4	0	3	2	2	3	3	3	2	3	1	3	1	0	0	8	2	1	3	0	0	0	0	2	0	0	2	3	1	1	3	4	1	2	3	4	2	0	1	13	4	0	1	3	0	1	1	1	1	1	1	3	1	0	0	1	2	3	1	0	0	2	4	5	2	4	1	1	1	0	1	1	2	1	1	3	9	1	2	1	1	2	3	3	0	2	4	1	1	2	2	2	2	1	0	13	0	1	4	2	0	7	3	1	1	0	2	4	1	1	5	1	1	0	2	4	1	2	0	0	5	0	5	3	2	1	1	4	2	3	2	1	1	0	0	0	11	0	2	9	2	1	0	0	0	1	1	0	1	7	0	0	1	9	4	1	2	0	4	0	1	1	10	3	5	6	1	4	0	3	2	2	0	0	1	0	1	1	1	1	2	2	1	0	2	1	3	0	1	2	1	1	1	0	0	0	1	1	0	6	6	0	1	5	0	0	1	1	1	0	0	5	13	0	3	1	13	1	0	0	5	0	0	2	0	1	3	1	16	1	0	11	4	0	2	2	1	0	1	0	0	1	5	0	1	3	0	0	0	7	1	1	2	1	0	14	1	5	1	1	1	1	2	2	4	3	3	0	2	1	1	1	0	0	1	2	3	1	1	3	1	2	6	0	2	1	1	0	0	0	0	2	4	3	1	1	4	5	0	1	5	2	0	0	4	0	1	0	1	0	0	1	2	0	1	3	3	0	3	1	2	11	1	3	0	0	0	0	4	4	0	0	1	1	1	6	4	0	1
